Time,Price,BuySell,Volume
09:40:32,14.77,S,600
09:40:32,14.77,S,2400
09:40:34,14.78,B,200
09:40:35,14.78,B,1000
09:40:44,14.78,B,200
09:40:46,14.77,S,100
09:40:47,14.78,B,300
09:40:51,14.78,B,100
09:40:51,14.78,B,1000
09:40:51,14.78,B,300
09:40:51,14.78,B,6600
09:40:52,14.78,B,800
09:40:53,14.78,B,2600
09:40:53,14.78,B,4200
09:40:59,14.79,B,100
09:40:59,14.79,B,400
09:40:59,14.79,B,700
09:40:59,14.79,B,1500
09:40:59,14.8,B,100
09:40:59,14.8,B,3000
09:40:59,14.8,B,300
09:40:59,14.8,S,1500
09:41:00,14.8,S,300
09:41:00,14.8,S,100
09:41:01,14.8,S,300
09:41:01,14.8,S,200
09:41:05,14.8,S,1500
09:41:05,14.78,S,13200
09:41:05,14.78,S,500
09:41:05,14.77,S,17900
09:41:08,14.78,S,200
09:41:24,14.78,S,300
09:41:24,14.78,S,200
09:41:24,14.78,S,1000
09:41:26,14.79,B,1100
09:41:28,14.79,S,500
09:41:31,14.79,S,300
09:41:36,14.79,S,100
09:41:36,14.79,S,900
09:41:44,14.79,S,1100
09:41:44,14.79,S,400
09:41:45,14.79,S,200
09:41:46,14.8,B,500
09:41:46,14.79,S,400
09:41:46,14.78,S,300
09:41:52,14.8,B,100
09:41:52,14.8,B,100
09:41:52,14.81,B,500
09:41:57,14.8,S,100
09:41:57,14.79,S,100
09:41:57,14.79,S,200
09:42:07,14.8,S,300
09:42:07,14.8,S,700
09:42:07,14.79,S,100
09:42:15,14.81,B,400
09:42:15,14.81,B,600
09:42:16,14.8,S,2000
09:42:16,14.79,S,700
09:42:16,14.79,S,2000
09:42:16,14.79,S,300
09:42:17,14.79,S,400
09:42:22,14.8,S,300
09:42:34,14.81,B,1200
09:42:36,14.8,S,700
09:42:36,14.8,S,400
09:42:42,14.8,B,600
09:42:43,14.79,S,1000
09:42:43,14.79,S,500
09:42:43,14.8,B,1000
09:42:52,14.8,B,400
09:42:56,14.8,B,900
09:42:56,14.8,B,100
09:42:56,14.8,B,1000
09:42:57,14.8,B,500
09:42:57,14.8,B,1500
09:42:57,14.8,B,400
09:42:57,14.8,B,200
09:42:57,14.8,B,100
09:42:57,14.8,B,500
09:43:00,14.8,S,100
09:43:01,14.81,B,1100
09:43:01,14.81,B,200
09:43:01,14.81,B,500
09:43:01,14.81,B,100
09:43:01,14.81,B,200
09:43:01,14.81,B,1000
09:43:07,14.81,S,900
09:43:39,14.82,S,2300
09:43:42,14.83,B,4000
09:43:42,14.83,B,200
09:43:42,14.83,B,3000
09:43:42,14.83,B,100
09:43:42,14.83,B,100
09:43:42,14.84,B,700
09:43:42,14.84,B,500
09:43:42,14.84,B,700
09:43:42,14.84,B,2600
09:43:44,14.82,S,3000
09:43:49,14.83,B,100
09:43:49,14.83,B,100
09:43:51,14.83,S,300
09:43:52,14.83,S,1800
09:43:59,14.84,B,1400
09:43:59,14.84,B,200
09:43:59,14.84,B,300
09:43:59,14.84,B,400
09:43:59,14.85,B,2000
09:43:59,14.85,B,1000
09:43:59,14.85,B,10000
09:43:59,14.85,B,800
09:43:59,14.85,B,500
09:43:59,14.85,B,2000
09:43:59,14.85,B,5000
09:43:59,14.85,B,1000
09:43:59,14.85,B,700
09:43:59,14.85,B,10000
09:44:00,14.85,S,200
09:44:01,14.85,S,200
09:44:03,14.85,S,100
09:44:09,14.86,B,200
09:44:09,14.86,B,300
09:44:10,14.85,S,24200
09:44:10,14.85,S,2000
09:44:10,14.84,S,1000
09:44:10,14.84,S,2000
09:44:10,14.84,S,1000
09:44:10,14.84,S,2000
09:44:10,14.83,S,2800
09:44:10,14.83,S,7000
09:44:10,14.83,S,3000
09:44:10,14.83,S,200
09:44:10,14.83,S,2100
09:44:10,14.82,S,700
09:44:10,14.82,S,300
09:44:10,14.82,S,50000
09:44:10,14.82,S,1700
09:44:12,14.83,B,400
09:44:13,14.84,S,600
09:44:13,14.83,S,600
09:44:16,14.84,B,400
09:44:17,14.84,B,2400
09:44:18,14.83,S,100
09:44:18,14.83,S,400
09:44:20,14.83,B,200
09:44:20,14.82,S,500
09:44:22,14.82,S,2500
09:44:23,14.83,B,2300
09:44:27,14.83,S,400
09:44:29,14.83,S,200
09:44:30,14.83,S,400
09:44:33,14.84,B,3000
09:44:36,14.84,B,100
09:44:37,14.84,B,5000
09:44:38,14.84,B,600
09:44:39,14.83,S,3300
09:44:39,14.83,S,400
09:44:39,14.82,S,100
09:44:39,14.82,S,5000
09:44:54,14.84,B,1100
09:44:54,14.84,B,200
09:44:54,14.84,B,700
09:45:06,14.84,S,3500
09:45:06,14.84,S,2000
09:45:06,14.84,S,500
09:45:09,14.84,S,1100
09:45:09,14.84,S,500
09:45:09,14.84,S,700
09:45:09,14.83,S,2000
09:45:09,14.83,S,1500
09:45:10,14.83,S,100
09:45:13,14.85,B,1300
09:45:13,14.85,B,1000
09:45:13,14.85,B,3600
09:45:13,14.85,B,300
09:45:13,14.85,B,1190
09:45:13,14.85,B,2200
09:45:15,14.85,S,400
09:45:15,14.85,S,10
09:45:20,14.85,B,1090
09:45:20,14.85,B,200
09:45:22,14.85,S,10
09:45:23,14.84,S,500
09:45:26,14.84,B,100
09:45:30,14.84,B,1000
09:45:30,14.84,B,1000
09:45:33,14.84,B,400
09:45:33,14.85,B,190
09:45:34,14.85,S,400
09:45:37,14.85,S,500
09:45:41,14.85,S,500
09:45:43,14.85,S,820
09:45:45,14.85,S,900
09:45:49,14.85,S,5500
09:45:51,14.85,S,500
09:45:52,14.85,S,290
09:45:52,14.85,S,200
09:45:52,14.85,S,200
09:45:55,14.85,B,310
09:45:55,14.85,B,400
09:45:55,14.85,B,800
09:45:55,14.85,B,900
09:45:55,14.85,S,1090
09:45:56,14.84,S,200
09:45:56,14.84,S,500
09:45:56,14.84,S,200
09:45:56,14.84,S,200
09:45:56,14.83,S,1400
09:45:56,14.83,S,100
09:45:56,14.83,S,200
09:45:56,14.83,S,1000
09:45:56,14.83,S,100
09:45:56,14.83,S,500
09:45:56,14.83,S,400
09:45:56,14.82,S,1100
09:45:56,14.82,S,2000
09:45:56,14.82,S,1000
09:45:56,14.82,S,2000
