date,open,close,low,high,volume,money,change
2014/1/9,2041.77,2027.62,2026.45,2057.2,7594188300,67605664108,-0.0081777
2014/1/8,2047.26,2044.34,2037.11,2062.95,7164736400,62941429756,-0.001454098
2014/1/7,2034.22,2047.32,2029.25,2052.28,6340293800,54638641623,0.000786036
2014/1/6,2078.68,2045.71,2034.01,2078.68,8958760800,72895394974,-0.017966662
2014/1/3,2101.54,2083.14,2075.9,2102.17,8449724100,72372229162,-0.012444848
2014/1/2,2112.13,2109.39,2101.02,2113.11,6848548600,61921354651,-0.003114872
2013/12/31,2090.68,2115.98,2087.42,2120.27,8047437500,71456281495,0.008795588
2013/12/30,2108.88,2097.53,2095.06,2112.01,7408505600,63038943336,-0.001771326
2013/12/27,2074.59,2101.25,2069.59,2110.36,7675682700,66394444690,0.01357967
2013/12/26,2102.66,2073.1,2070.55,2102.66,7854140800,66767122191,-0.015787944
2013/12/25,2095.02,2106.35,2088.3,2107.23,6513909600,58136846617,0.006425996
2013/12/24,2094.07,2092.91,2079.81,2111.81,7025146700,61697067271,0.001530358
2013/12/23,2089.54,2089.71,2068.54,2099.52,6814663600,58435623902,0.002356588
2013/12/20,2128.37,2084.79,2082.86,2131.74,8677521200,72198200223,-0.020207802
2013/12/19,2153.67,2127.79,2126.25,2159.14,7312347900,61496944001,-0.009539237
2013/12/18,2150.41,2148.29,2142.62,2156.59,6417358400,55420595199,-0.001298883
2013/12/17,2161.54,2151.08,2146.31,2165.54,7857893600,66921600555,-0.004526899
2013/12/16,2197.23,2160.86,2159.99,2201.7,10138759400,86422957339,-0.016034971
2013/12/13,2188.26,2196.08,2183.84,2204.64,8510101200,72637502087,-0.003051122
2013/12/12,2199.32,2202.8,2194.9,2214.55,8610867100,76003328922,-0.00062155
2013/12/11,2228.63,2204.17,2193.16,2228.63,10947315000,94389298201,-0.014894355
2013/12/10,2239.86,2237.49,2231.68,2250.5,10904313300,95556296184,-0.000316326
2013/12/9,2241.79,2238.2,2231.73,2249.17,9327363900,84432480333,0.00048813
2013/12/6,2242.56,2237.11,2228.63,2248.15,10370092900,92254759114,-0.004430227
2013/12/5,2252.72,2247.06,2239.14,2255.26,12204841400,1.06E+11,-0.00208681
